time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.246093783376700e-15	1.143741e+00	5.717945e-01	1.143741e+00	8.836343e-13	4.955990e-01	4.955357e-01
3.218913642579078e-15	1.347276e+00	6.735438e-01	1.347276e+00	1.273355e-12	5.809625e-01	5.828838e-01
5.164553360983833e-15	1.347183e+00	6.734883e-01	1.347183e+00	2.041515e-12	5.838588e-01	5.906592e-01
9.055832797793345e-15	1.347174e+00	6.734821e-01	1.347174e+00	3.507084e-12	6.075029e-01	6.195069e-01
1.683839167141237e-14	1.347176e+00	6.734834e-01	1.347176e+00	6.285274e-12	6.397364e-01	6.588229e-01
2.450982588036746e-14	1.347175e+00	6.734829e-01	1.347175e+00	8.716836e-12	6.528638e-01	6.762043e-01
3.985269429827764e-14	1.347176e+00	6.734834e-01	1.347176e+00	1.262815e-11	6.600122e-01	6.864743e-01
6.102772668672687e-14	1.347175e+00	6.734832e-01	1.347175e+00	1.645631e-11	6.621144e-01	6.896937e-01
9.582120929994412e-14	1.347176e+00	6.734834e-01	1.347176e+00	2.023627e-11	6.620585e-01	6.898227e-01
1.405285641131513e-13	1.347175e+00	6.734833e-01	1.347175e+00	2.267607e-11	6.616734e-01	6.894792e-01
2.299432737395656e-13	1.347175e+00	6.734832e-01	1.347175e+00	2.472263e-11	6.611027e-01	6.889386e-01
4.087726929923942e-13	1.347174e+00	6.734829e-01	1.347174e+00	2.692850e-11	6.599817e-01	6.878607e-01
7.664315314980513e-13	1.347174e+00	6.734826e-01	1.347174e+00	3.067585e-11	6.577542e-01	6.857168e-01
1.481749208509365e-12	1.347173e+00	6.734822e-01	1.347173e+00	3.814085e-11	6.533372e-01	6.814516e-01
2.912384562531994e-12	1.347172e+00	6.734819e-01	1.347172e+00	5.298196e-11	6.446599e-01	6.730294e-01
5.773655270577252e-12	1.347171e+00	6.734816e-01	1.347171e+00	8.229997e-11	6.278775e-01	6.566170e-01
1.149619668666777e-11	1.347170e+00	6.734813e-01	1.347170e+00	1.394752e-10	5.963654e-01	6.255158e-01
2.294127951884880e-11	1.347169e+00	6.734810e-01	1.347169e+00	2.480934e-10	5.404087e-01	5.697786e-01
4.583144518321085e-11	1.347169e+00	6.734807e-01	1.347169e+00	4.444845e-10	4.508141e-01	4.798073e-01
9.161177651193497e-11	1.347168e+00	6.734806e-01	1.347168e+00	7.753401e-10	3.295186e-01	3.568087e-01
1.736200095419399e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.256207e-09	2.118760e-01	2.325775e-01
2.517505216996831e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.653332e-09	1.969380e-01	2.074581e-01
3.406118114759017e-10	1.347168e+00	6.734806e-01	1.347168e+00	2.137987e-09	2.898430e-01	2.917500e-01
4.376659299546571e-10	1.347168e+00	6.734806e-01	1.347168e+00	2.810228e-09	4.472186e-01	4.469202e-01
5.554995872570758e-10	1.347168e+00	6.734806e-01	1.347168e+00	3.790257e-09	6.184946e-01	6.184089e-01
6.000000000000000e-10	1.347181e+00	6.734875e-01	1.347181e+00	4.191094e-09	6.596125e-01	6.597638e-01
6.077641421660268e-10	1.347173e+00	6.734830e-01	1.347173e+00	4.260647e-09	6.557686e-01	6.558810e-01
6.232924264980805e-10	1.347168e+00	6.734806e-01	1.347168e+00	4.397544e-09	6.519657e-01	6.520439e-01
6.543489951621879e-10	1.347168e+00	6.734806e-01	1.347168e+00	4.662358e-09	6.505844e-01	6.506374e-01
7.164621324904025e-10	1.347168e+00	6.734806e-01	1.347168e+00	5.165717e-09	6.514037e-01	6.514491e-01
7.971991905357502e-10	1.347168e+00	6.734806e-01	1.347168e+00	5.768324e-09	6.526123e-01	6.526564e-01
9.586733066264456e-10	1.347168e+00	6.734806e-01	1.347168e+00	6.839609e-09	6.547860e-01	6.548250e-01
1.183282681626446e-09	1.347168e+00	6.734806e-01	1.347168e+00	8.141676e-09	6.575077e-01	6.575416e-01
1.407892056626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	9.276691e-09	6.598874e-01	6.599167e-01
1.632501431626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.028868e-08	6.619471e-01	6.619724e-01
1.857110806626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.122303e-08	6.637282e-01	6.637501e-01
2.081720181626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.211144e-08	6.652691e-01	6.652879e-01
2.306329556626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.297619e-08	6.666006e-01	6.666167e-01
2.530938931626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.383290e-08	6.677516e-01	6.677654e-01
2.755548306626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.469250e-08	6.687455e-01	6.687574e-01
2.980157681626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.556242e-08	6.696041e-01	6.696144e-01
3.204767056626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.644758e-08	6.703452e-01	6.703540e-01
3.429376431626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.735098e-08	6.709851e-01	6.709927e-01
3.653985806626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.827430e-08	6.715372e-01	6.715437e-01
3.878595181626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.921821e-08	6.720137e-01	6.720193e-01
4.103204556626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	2.018266e-08	6.724247e-01	6.724296e-01
4.327813931626445e-09	1.347168e+00	6.734806e-01	1.347168e+00	2.116714e-08	6.727794e-01	6.727835e-01
4.552423306626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.217078e-08	6.730852e-01	6.730887e-01
4.777032681626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.319250e-08	6.733490e-01	6.733520e-01
5.001642056626446e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.423111e-08	6.735764e-01	6.735790e-01
5.226251431626447e-09	1.347168e+00	6.734805e-01	1.347168e+00	2.528533e-08	6.737726e-01	6.737748e-01
