time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.246093783376700e-15	1.143741e+00	5.717945e-01	1.143741e+00	1.143741e+00	4.955990e-01	4.955357e-01
3.218913642575732e-15	1.347276e+00	6.735438e-01	1.347276e+00	1.347276e+00	5.809625e-01	5.828838e-01
5.164553360973798e-15	1.347183e+00	6.734883e-01	1.347183e+00	1.347183e+00	5.838588e-01	5.906592e-01
9.055832797769929e-15	1.347174e+00	6.734821e-01	1.347174e+00	1.347174e+00	6.075029e-01	6.195069e-01
1.683839167136219e-14	1.347176e+00	6.734834e-01	1.347176e+00	1.347176e+00	6.397364e-01	6.588229e-01
2.450982588030389e-14	1.347175e+00	6.734829e-01	1.347175e+00	1.347175e+00	6.528638e-01	6.762043e-01
3.985269429818729e-14	1.347176e+00	6.734834e-01	1.347176e+00	1.347176e+00	6.600122e-01	6.864743e-01
6.102772668663362e-14	1.347175e+00	6.734832e-01	1.347175e+00	1.347175e+00	6.621144e-01	6.896937e-01
9.582120929968234e-14	1.347176e+00	6.734834e-01	1.347176e+00	1.347176e+00	6.620585e-01	6.898227e-01
1.405285641127378e-13	1.347175e+00	6.734833e-01	1.347175e+00	1.347175e+00	6.616734e-01	6.894792e-01
2.299432737388488e-13	1.347175e+00	6.734832e-01	1.347175e+00	1.347175e+00	6.611027e-01	6.889386e-01
4.087726929910706e-13	1.347174e+00	6.734829e-01	1.347174e+00	1.347174e+00	6.599817e-01	6.878607e-01
7.664315314955144e-13	1.347174e+00	6.734826e-01	1.347174e+00	1.347174e+00	6.577542e-01	6.857168e-01
1.481749208504402e-12	1.347173e+00	6.734822e-01	1.347173e+00	1.347173e+00	6.533372e-01	6.814516e-01
2.912384562522177e-12	1.347172e+00	6.734819e-01	1.347172e+00	1.347172e+00	6.446599e-01	6.730294e-01
5.773655270557727e-12	1.347171e+00	6.734816e-01	1.347171e+00	1.347171e+00	6.278775e-01	6.566170e-01
1.149619668662883e-11	1.347170e+00	6.734813e-01	1.347170e+00	1.347170e+00	5.963654e-01	6.255158e-01
2.294127951877103e-11	1.347169e+00	6.734810e-01	1.347169e+00	1.347169e+00	5.404087e-01	5.697786e-01
4.583144518305543e-11	1.347169e+00	6.734807e-01	1.347169e+00	1.347169e+00	4.508141e-01	4.798073e-01
9.161177651162424e-11	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	3.295186e-01	3.568087e-01
1.736200093849324e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	2.118760e-01	2.325775e-01
2.517505214751732e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	1.969380e-01	2.074581e-01
3.406118111866927e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	2.898430e-01	2.917500e-01
4.376659297046414e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	4.472186e-01	4.469202e-01
5.554995430951708e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.184946e-01	6.184088e-01
6.000000000000000e-10	1.347181e+00	6.734875e-01	1.347181e+00	1.347181e+00	6.596125e-01	6.597638e-01
6.077641477113377e-10	1.347173e+00	6.734830e-01	1.347173e+00	1.347173e+00	6.557686e-01	6.558810e-01
6.232924431340131e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.519657e-01	6.520439e-01
6.543490339793638e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.505844e-01	6.506374e-01
7.164622156700653e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.514037e-01	6.514491e-01
7.971992959963200e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.526123e-01	6.526564e-01
9.586734566488294e-10	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.547860e-01	6.548250e-01
1.183282831648830e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.575077e-01	6.575416e-01
1.407892206648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.598874e-01	6.599167e-01
1.632501581648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.619471e-01	6.619724e-01
1.857110956648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.637282e-01	6.637501e-01
2.081720331648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.652691e-01	6.652879e-01
2.306329706648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.666006e-01	6.666167e-01
2.530939081648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.677516e-01	6.677654e-01
2.755548456648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.687455e-01	6.687574e-01
2.980157831648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.696041e-01	6.696144e-01
3.204767206648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.703452e-01	6.703540e-01
3.429376581648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.709851e-01	6.709927e-01
3.653985956648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.715372e-01	6.715437e-01
3.878595331648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.720137e-01	6.720193e-01
4.103204706648829e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.724247e-01	6.724296e-01
4.327814081648830e-09	1.347168e+00	6.734806e-01	1.347168e+00	1.347168e+00	6.727794e-01	6.727835e-01
4.552423456648830e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.730852e-01	6.730887e-01
4.777032831648830e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.733490e-01	6.733520e-01
5.001642206648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.735764e-01	6.735790e-01
5.226251581648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.737726e-01	6.737748e-01
5.450860956648831e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.739417e-01	6.739436e-01
5.675470331648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.740875e-01	6.740892e-01
5.900079706648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.742133e-01	6.742147e-01
6.124689081648832e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.743217e-01	6.743228e-01
6.349298456648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.744151e-01	6.744162e-01
6.573907831648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.744957e-01	6.744966e-01
6.798517206648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.745651e-01	6.745659e-01
7.023126581648834e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.746250e-01	6.746256e-01
7.247735956648834e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.746766e-01	6.746771e-01
7.472345331648833e-09	1.347168e+00	6.734805e-01	1.347168e+00	1.347168e+00	6.747211e-01	6.747216e-01
7.696954706648833e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.747594e-01	6.747599e-01
7.921564081648832e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.747925e-01	6.747928e-01
8.146173456648832e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.748210e-01	6.748213e-01
8.370782831648831e-09	1.347167e+00	6.734805e-01	1.347167e+00	1.347167e+00	6.748456e-01	6.748458e-01
8.595392206648831e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.748667e-01	6.748669e-01
8.820001581648830e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.748850e-01	6.748852e-01
9.044610956648830e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749007e-01	6.749009e-01
9.269220331648829e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749143e-01	6.749145e-01
9.493829706648829e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749260e-01	6.749261e-01
9.718439081648828e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749361e-01	6.749362e-01
9.943048456648828e-09	1.347167e+00	6.734804e-01	1.347167e+00	1.347167e+00	6.749448e-01	6.749449e-01
